"learn_rate","dropout_rate","l2_reg","units1","units2","mean_auc","mean_epochs"
0.001,0.5,0.001,128,32,0.803974255919456,19
5e-04,0.5,0.001,128,32,0.804005175828934,29
0.001,0.2,0.1,256,32,0.785739690065384,15
5e-04,0.2,0.1,256,32,0.792005315423012,16
0.001,0.3,0.1,256,32,0.786697670817375,10
5e-04,0.3,0.1,256,32,0.790115311741829,18
0.001,0.4,0.1,256,32,0.585091650485992,10
5e-04,0.4,0.1,256,32,0.789580687880516,20
0.001,0.5,0.1,256,32,0.783681154251099,23
5e-04,0.5,0.1,256,32,0.78851155936718,23
0.001,0.2,0.01,256,32,0.802850186824799,19
5e-04,0.2,0.01,256,32,0.805711105465889,10
0.001,0.3,0.01,256,32,0.797682091593742,16
5e-04,0.3,0.01,256,32,0.802990689873695,21
0.001,0.4,0.01,256,32,0.79602524638176,16
5e-04,0.4,0.01,256,32,0.801765948534012,18
0.001,0.5,0.01,256,32,0.795586124062538,24
5e-04,0.5,0.01,256,32,0.801771372556686,16
0.001,0.2,0.005,256,32,0.799845471978188,19
5e-04,0.2,0.005,256,32,0.804981872439384,12
0.001,0.3,0.005,256,32,0.799994722008705,20
5e-04,0.3,0.005,256,32,0.804176062345505,19
0.001,0.4,0.005,256,32,0.801114112138748,14
5e-04,0.4,0.005,256,32,0.802925080060959,13
0.001,0.5,0.005,256,32,0.800850376486778,21
5e-04,0.5,0.005,256,32,0.802577212452888,17
0.001,0.2,0.001,256,32,0.803921431303024,14
5e-04,0.2,0.001,256,32,0.795254036784172,35
0.001,0.3,0.001,256,32,0.802769333124161,25
5e-04,0.3,0.001,256,32,0.798548728227615,20
0.001,0.4,0.001,256,32,0.801723599433899,27
5e-04,0.4,0.001,256,32,0.803925350308418,16
0.001,0.5,0.001,256,32,0.802143424749374,16
5e-04,0.5,0.001,256,32,0.802759453654289,18
0.001,0.2,0.1,64,64,0.789799183607101,10
5e-04,0.2,0.1,64,64,0.79334132373333,21
0.001,0.3,0.1,64,64,0.783878102898598,8
5e-04,0.3,0.1,64,64,0.791639670729637,15
0.001,0.4,0.1,64,64,0.781924232840538,6
5e-04,0.4,0.1,64,64,0.790729269385338,13
0.001,0.5,0.1,64,64,0.78186146914959,14
5e-04,0.5,0.1,64,64,0.790375024080276,16
0.001,0.2,0.01,64,64,0.800743386149406,14
5e-04,0.2,0.01,64,64,0.803616568446159,17
0.001,0.3,0.01,64,64,0.801064476370811,24
5e-04,0.3,0.01,64,64,0.803157106041908,20
0.001,0.4,0.01,64,64,0.800240099430084,10
5e-04,0.4,0.01,64,64,0.801980257034302,16
0.001,0.5,0.01,64,64,0.797127723693848,34
